sl,text,type,source,category,label
11,"This paper presents a measurement method being capable of characterizing impact from sintering on reached electrical conductivity of nano silver inks. Therefore, a measurement setup at relatively low frequencies was chosen, so that the electromagnetic (EM) field completely penetrates the conductive region. Thus, the transmission which is highly influenced by the conductivity variations of the material under test can be measured. Even small variations due to different sintering temperatures are measurable in this way. A model describing the transmission of the EM-field through the material sample including a carrier layer of polyimide was set up, which allows for inferring the conductivity of the sample. As samples sputtered copper layers are examined, as well as nano silver inks sintered at different temperatures and with different sintering methods.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924366,HWT,0
12,"No doubt you have heard a lot of noise about an impending quantum revolution. For many, the word “quantum” is implicitly followed by the word “computing”. In fact, though, computing is just one of many applications that will likely be impacted by quantum technology. Timekeeping, for example, gives a glimpse of quantum things to come: clocks utilizing quantum phenomena based on ultracold atoms have demonstrated performance that is more than a factor of 10,000 times higher precision than today’s clocks that maintain the world’s time. One can reasonably expect such incredible performance and capability enhancements to emerge in other applications where quantum knowhow and technology can be used to advantage. This presentation has three objectives. The first is to describe some things that quantum brings to the table from an engineering perspective. What do “quantum superposition” and “entanglement” mean from a practical view, for example. The second is to introduce a particular brand of quantum technology based on ultracold atoms, i.e. atoms that are cooled to less than a millionth of a degree of absolute zero using optical and electromagnetic techniques. The third is to introduce a number of examples in which microwave engineering impacts quantum applications, and where quantum technology can impact microwave applications.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
13,"In millimeter-wave (mmW) component engineering and manufacturing processes, it can be a constant struggle to achieve good calibration and measurement accuracy and repeatability. Furthermore, it is even more challenging to accurately and consistently characterize devices in a volume production setting where testing speed and data reliability are essential. The contactless flange is a good solution to this problem. It can be electrically connected to a device under test (DUT) without full mechanical contact and without tightened screws. There are two types of contactless flanges, i.e., the choke flange and the pin-array flange. In this paper, the performance of three typical contactless flange designs is presented and compared, especially in consideration of possible misalignment. Additionally, a rail positioning system integrated with contactless flanges is proposed to minimize the alignment efforts during waveguide component testing. The rail positioning system has been successfully integrated with mmW frequency extenders for vector network analyzers (VNAs) to ease and improve mmW and THz testing.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
14,"In this paper, an interferometric receiver architecture suitable for integrated multifunctional large-scale wireless systems is devised and presented. The receiver inherits the technical merits of multiport interferometric receivers, while it can simultaneously receive data and detect both Angle-of-Arrival (AoA) and polarization of incoming signals. A theoretical foundation with modeling of different functions, namely data communication, AoA estimation, and polarization detection, is described in detail. To validate the proposed multifunction receiver architecture, an experimental prototype is developed and fabricated at Ka-band for fifth generation (5G) applications and beyond. Simulated and measured results support the feasibility of this innovative multifunction interferometric receiver architecture for simultaneous data reception, AoA estimation, and polarization detection.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
15,"This paper presents the design methodology, the realization, and the power characteristics of plastic low-cost packaged dual Power Transmitters (PTs) operating in the 27–32 GHz band. Both millimeter-wave power transmitters are based on a High Power Amplifier and an SPDT switch; they are fabricated on 150-nm Gallium Nitride HEMT on Silicon Carbide technology (AlGaN/GaN on SiC) from UMS. The main aim of this realization was the high integration of several power functions in the same package, achieving high output power, high Power Added Efficiency, and a high isolation level between the two RF output paths addressing two pairs of antennas. The measured power results under Continuous Wave (CW) signal of the dual PT demonstrate a maximum output power for each transmitter (POUT) higher than 4 W (36 dBm) with 20% Power Added Efficiency (PAE), 24 dB of insertion gain (GI), and 34 dB isolation between the two activated RF paths in the 27–32 GHz bandwidth.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
16,"We present a low-temperature flip-chip-based mounting technology, enabling integration of indium phosphide (InP)-based chiplets on BiCMOS. The process temperatures of well below 200 °C allow mounting chips with limited temperature budgets without degrading device performance. To ensure good scalability, repeatability, and flexibility in terms of complex transitions, we use a pillar-based approach instead of the popular bump array technique. Thermal simulations prove that the increase in thermal resistance due to integration is not critical. The RF performance was evaluated using simple coplanar waveguide (CPW) test chips and carriers without any special transition optimization. The results indicate good broadband characteristics up to frequencies beyond 100 GHz.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
17,We present different concepts of a THz-wireless point-to-multipoint (P2MP) communication system based on fast spatio-temporal beam-switching in the THz domain and discuss implications for the system and the DSP design. Characterization results from simulations and experiments towards the realization of a highcapacity P2MP THz-wireless communication prototype system will be presented.,Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
18,"This paper presents a top-down architectural analysis of a MIMO imaging system in terms of analog-to-digital converter (ADC) requirements. This helps to determine the optimal ADC accuracy and make the right choice for an ADC circuit architecture, without going into an over-design effort. It results in a 32 MS/s 8-bit SAR ADC based on a hybrid DAC architecture. The ADC was designed in a 130 nm SiGe BiCMOS process, demonstrating core power consumption of 0.3 mW from a 1.2 V supply. The ADC core occupies a 0.23 × 0.13 mm² silicon area and can be easily integrated with a 220–260 GHz imaging receiver on the same IC. It will significantly improve power consumption, form factor, and assembly of the complete MIMO imaging system.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
19,"It is shown, that different resonances of close dual-post configurations can be utilized for dual-band filter designs. The resonances of close dual-post arrangements are no longer the resonances of the individual posts because of the strong coupling. The independent control of these dual-post resonances is one prerequisite for the design of the novel dual-band filters. The second one is the independent control of interface and inter-resonator couplings of the different resonances. Thus, possible measures that allow the individual adjustment of resonances and couplings for a dual-band filter design are introduced. The general feasibility of this novel approach is demonstrated by a dual-band filter design at 2.5GHz providing two 4-order filter characteristics.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
20,"The inherent phase reversal of the higher order mode, or odd mode, of close dual-post configurations is exploited in the design of pseudo-elliptic filters with transmission zeros at finite frequencies. This phase transformation allows the realization of negative coupling coefficients in coaxial technology without using traditional probes. Design guidelines in regards to control of the elements of the equivalent circuit are discussed. The approach is illustrated at the example of quadruplet filters at 2.6 GHz with two TZ’s at finite frequencies. Full-wave simulation results confirm the validity of the approach.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
21,"This paper presents a new class of in-line rectangular waveguide filters with source-to-load (S-L) coupling for generating transmission zeros (TZs). The easiest way to obtain a direct S-L coupling is to connect source and load by a secondary path realized with a waveguide section. However, in an in-line filters, source and load are in general distant, this resulting in a long waveguide section that generate spurious frequencies that degrade the filter performance. In this paper, an alternative method where the secondary path is realized by the cascade of cavities is introduced. Resonances generated by the cavities of the secondary path are then removed by exploiting the spurious self-suppression method. Cavities in secondary path can have a very small volume and their contribution to the filter Q-factor is extremely limited. This results in a secondary path that has a limited impact on the dimension of the whole filter. To validate the proposed method, a 4th order filter has been designed, fabricated, and measured.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
22,"This article presents a study of a reconfigurable patch antenna using a p-i-n diode for 4G and 5G applications. The antenna is printed on PowerCoat XD paper by screen-printing technique to reach the goal of creating sustainable and environmentally friendly components. By controlling the diode state, the antenna resonance frequency can be switched between 3.6 GHz — a frequency in the 5G band and 2.4 GHz — in the 4G band. Reflection coefficient measurement shows that by switching the state of the diode from OFF to ON, the antenna resonance frequency is changed from 3.6 GHz to 2.4 GHz.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
23,"This work presents a pressure transducer consisting of a 3D coupled-line directional coupler, where the distance between lines varies with the applied pressure. In particular, two quarter-wave microstrip lines facing each other are aligned one on top of the other so that part of the signal flowing in one line is coupled to the other line. When pressure is applied, the distance between lines reduces, while coupling increases. That way, different pressure levels are converted into different coupling values. Two parallel-plate waveguides connect the microstrip line on the top layer to the bottom layer, so that all four ports of the directional coupler are realized on the same layer. The circuit is manufactured with stereolithography 3D printing. Selective metallization is performed embossing the desired patterns on the 3D printed dielectric and then applying silver nanoparticle ink to the protruding areas with a brush. A proof-of-concept prototype, working at 3 GHz, was manufactured and tested. The proposed prototype features a change of the transmission coefficient between the input and the coupled ports from -15.6 dB to -12.4 dB for an applied pressure of 278 kPa compared to zero pressure state, thereby proving the working principle of the circuit. The proposed transducer can be used in a harmonic transponder, and the pressure information can be retrieved from the amplitude difference of the signals at the direct and coupled ports. The obtained results open the door to a new class of pressure transducers that are based on additively-manufactured radio-frequency components, and are suitable for passive wireless sensors.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
24,"Seasonal Alpine snowpack is an important reservoir of fresh water useful for human and agricultural purposes and for hydroelectric power generation. Thus, monitoring the evolution of the snow is very useful to control this important factor. To do this, different approaches are used. Among them, microwave-based devices are used, but show some limitations due to the impossibility to retrieve the parameters without a priori assumptions or complementary information about the snowpack, or complex data processing. This paper present a portable radar architecture able to overcome this limitation by using a dual-receiver system. The device was already tested for the S-band. Now, a multi-spectral analysis is tested for the first time to retrieve values of depth, density and snow water equivalent (SWE), for dry snow. The system was tested in real field sites in the Italian Alps during late winter 2022. The overall results were in good agreement with manual measurements.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
25,"Remote longterm monitoring of Snow Water Equivalent (SWE) is essential for prediction of hydro electric power production, climate models and more. In this paper we present a low-power, low-cost upward looking radar system compliant with the FCC/ETSI UWB regulations for unlicensed longterm remote SWE monitoring. The SWE is estimated using the two-way time of arrival distance measurement of a fixed reflector. To filter radar clutter and seasonal external environmental interference, the reference reflector is oscillating at 0.6 Hz normal to the radar to enable pulse doppler signal domain processing and robust operation. A SNR of 8 dB is measured trough 3.15 m dry old snow considered sufficient for most dry snow applications.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
26,"This work aims to consider the use of different SAR operating at X-, C- and L-band in order to improve the monitoring of snow covered areas and soil in Alpine areas. A preliminary dataset of X-, C- and L-band is acquired and analysed in order to exploit the potentialities in snow and permafrost monitoring. The intensity and phase of the SAR signal at different frequencies shows sensitivity for estimating Snow Water Equivalent and permafrost characteristics.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
27,"As radar technology progresses to higher frequencies, the use of imaging systems becomes more important. Although ranges in the terahertz frequency spectrum are decreasing due to atmospheric attenuation, near-range applications are of great interest for industrial applications. This paper summarizes and compares the main technological approaches and concepts.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
28,"We describe a method for performing cryogenic permittivity and loss tangent measurements of small (few mm), high-permittivity dielectric cylinders used in surface impedance measurement of superconductors. We combine the use of sapphire and PTFE supports to hold the dielectric under test and provide good thermal conductivity to the cold head. Additionally, the sapphire support is used to facilitate the measurement of the cavity’s metal loss and the assessment of its contribution to the overall resonator loss.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
29,"This paper introduces a method to extract the apparent permittivity of a transmission line by using only one band limited measurement. This approach can be used for arbitrary cross-section geometries as long as the dielectric filling is homogeneous, therefore extends the method proposed in [1] to determine an initial phase to be capable of dealing with a dielectric filling of a transmission line’s cross-section. The group velocity is exploited in its property as a derivative quantity to set up a system of equations, whose solution delivers the initial phase offset -usually lost in band limited measurements- and the apparent permittivity.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
30,"In this paper an effective though simple method to accurately characterize dielectric substrate materials at mm-wave frequencies is presented. The method is based on the use of a resonant cavity in SIW technology realized in a substrate made out of the material to characterize. Based on the measured resonant frequency, it is then possible to extract the electrical properties of the material exclusively from the geometry of the cavity. The SIW cavity is fed by two grounded coplanar waveguides to reduce the loading effect of the transmission lines and to avoid errors in the estimations of relative permittivity. The proposed cavity provides a solution for material characterization for emerging 5G-and-beyond applications operating at high frequencies. Measurements have been performed in the frequency range from 10 GHz to 30 GHz, but the design is scalable to lower or higher frequency ranges, if within the possibilities of the manufacturing process of the cavity.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
31,"This paper reports on the characterisation of four common types of dielectric materials, i.e. fused silica, Polymethylpentene (trade name TPX), YAG, and UHMW polyethylene, at G-band (140–220 GHz) using the material characterization kit (MCK). This is effectively a guided free-space method, with the waves propagating in enclosed corrugated waveguides. Time-gating and Savitzky-Golay filter are utilised to address the problem of rapid oscillations in the extracted permittivity and loss tangent due to the spurious signal reflections inside the MCK. These two data filtering techniques efficiently remove spurious effects, and the processed results are in good agreement. The same samples were also measured using the time-domain spectroscopy (TDS) method for comparison. Generally, the results from both methods are in good agreement. Additionally, UHMW polyethylene samples with different thicknesses are measured, presented, and discussed. It is demonstrated that sample thickness plays an important role in the extracted material properties at high frequencies.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
32,"The design and first experimental results of a Ka-band bandpass filter for high-power satellite applications are presented in this paper. The filter is based on dielectric-loaded TE01δ mode cylindrical cavity resonators, which allow for minimizing the volume occupation with respect to other standard technologies (i.e. circular cavity filters) still maintaining high unloaded Q-factors (>7000). The proposed ceramic resonator can be moved along its axis inside the resonant cavity. The reconfigurable position of dielectric load allows the regulation of the resonant frequency without additional tuning mechanisms, which can degrade the unloaded Q-factor of the resonator and affect the power-handling capabilities. The materials and geometries have been accurately selected for improving also the high-power performance of the filter in terms of thermal-flow and multipactor up to 150 W continuous wave of the input RF power. The feasibility of the proposed approach has been experimentally demonstrated by the RF measurements of a 6th order filter prototype.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
33,This paper describes a novel approach for the design of SMD-compliant Ka-band diplexer employing micromachining on silicon manufacturing process. The integrated device offers a good trade-off between reduced volume/mass and electric performance. Air-filled resonant cavities are fabricated stacking metalized silicon layers to magnify the achievable Q-factor. The design aims at replacing bulky metal cavity filters in multi-band ground terminals for satellite communications. Fundamental mode TE101 resonant cavities and ridge structures are built exploiting different types of silicon layers. The designed component tailors the Ka-band 19.7–21.2 GHz (Rx) and 29.5–31 GHz (Tx) operative bands. The device has been manufactured and experimentally validated.,Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
34,"This paper presents the design and the fabrication of a compact Ka-band dielectric cavity filter, manufactured in 3D-printed alumina technology. The goal is to achieve a flat in-band insertion loss, keeping constrained the device size. A 4th order and a 8th order cavity filters with 4 transmission zeros were designed and tested. The 8th order filter were designed using dual mode cavities in order to introduce additional transmission zeros without increasing the manufacturing complexity of the ceramic part. The filter is fabricated on low tanδ alumina which allows to achieve relatively high Q factor reducing the size of the device. The resonators exhibit a relatively- high unloaded Q-factor up to 800 which allows to increase the flatness in the operative bandwidth (27GHz–29.4GHz, FBW 8.5%). The selection of the material and filter geometry determine a very low occupation area (14×25mm2). The cavity filter has been mounted on alumina substrate to improve the thermal stability of the joint. The device demonstrates good robustness to thermal variations in the range between -10 and 70◦C.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
35,"This work presents a PLL architecture to achieve a relative bandwidth of >100% with a single PLL. To showcase the approach, a PLL generating frequencies inside the UWB is shown. The PLL utilizes the tuning range of two VCOs, while a single loop filter architecture generates both tuning voltages. To reduce implementation effort, the architecture can be simulated as a single, equivalent VCO. This equivalent VCO itself offers the maximum relative bandwidth of 200%. Additionally, it offers a more linear tuning curve than a single VCO. The maximum frequency of the PLL is 12.5 GHz, while its minimum frequency and hence relative bandwidth is only limited by the minimum divider value and reference frequency of the commercially available PLL.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
36,"This work presents a self-oscillating mixer (SOM) based on a slow-wave structure for phase-noise reduction. Emphasis is placed on the analysis/optimization methods, which include aspects such as conversion gain, nonlinear distortion, and operation boundaries. In a first stage, the parameters of the slow-wave structure are optimized to obtain a low phase-noise spectral density. As an example, a structure based on a unit cell containing a Schiffman section is considered. Then, the SOM behavior is addressed through an analytical model that should enable an understanding of its main operation characteristics. A practical FET-based circuit at 2.3 GHz is simulated with some novel harmonic-balance techniques and experimentally characterized.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
37,This paper presents linear phase shifter using Vernier ladder network. The linear phase control was achieved by vector modulator with pseudo-sine-cosine generator using folding circuits and proposed Vernier ladder network. The Vernier ladder network provides useful functions of digital control and linear phase control while having tolerance to PVT variations. A prototype phase shifter exhibits linear phase shift characteristics of over 360◦ at 2.5 GHz and 5 GHz. The measured RMS phase errors are 4.3◦ for 2.5 GHz and 4.6◦ for 5 GHz without any digital pre-calculation or calibration.,Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
38,"In this paper, we present the design of a novel space-grade high frequency oscillator operating at 11.8 GHz based on a push-push balanced configuration and packaged components. The push-push oscillator based on a dielectric resonator presented in the paper shows excellent phase noise performance at high frequencies while meeting derating requirements for use in space. The paper summarizes the transistor model optimisation, the dielectric resonator cavity modelling, circuit and electromagnetic simulation and finally the oscillator characterisation against temperature. The obtained performance is then compared to same oscillator based on single-ended configuration.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
39,"In this paper a 232–242 GHz radiating transmitter (Tx) is presented in TSMC 28nm bulk CMOS. The Tx consists of 75–85 GHz PA (power amplifier) followed by 75–85 GHz to 225–255 GHz tripler. The PA and tripler are single common source stages with 0.9V supply. The output of the tripler is connected to an on-chip ring structure that excites an on-chip dielectric resonance antenna (DRA). The radiating Tx has a directivity of 6.5 dBi with 60% efficiency and 10 GHz bandwidth. The Tx has a measured peak EIRP of 6 dBm, a record 0.7 dBm total radiated power and a DC-to-RF efficiency of 1.5%.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
40,A broadband on-chip antenna concept at 380 GHz on GaAs is presented. The antenna achieves high radiation efficiency of 80% and an impedance bandwidth of 25% utilizing laser-processed fused silica matching layer. Probe-based measurements are performed for antenna characterization,Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
41,Optical phase- (PM) and spatial-modulators (SLM) are of interest in integrated realization of highly stable RF clocks using self-forced opto-electronic oscillators and all-optical ADC that are to be realized using electro-optic (EO) chromophores on Si-Photonics platforms. Design and performance comparison of broadband RF electrodes of the optical modulators are presented in this paper using lateral coupled micro-strip (CMS) driving electrodes as travelling and standing waves. Improved bandwidth and group delay flatness are observed using proper terminations of CMS in PM. Optical waveguide structure of SLM designs is based on PM design with a higher index of refraction prism as optical superstrate to achieve leaky wave. Optical core waveguide design comparisons are made in terms of CPO-1 and JRD-1 EO chromophores with PMMI as host surrounded by NOA65 cladding. Optimized SLM is basis of 40GSPS ADC with effective number of bits as high as 9.4.,Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
42,"Commonly, printed circuit board (PCB) interconnects are realized as plated through-hole arrangements or even by means of connectors. To avoid the associated complexity and reduce the manufacturing effort and cost, we propose as an alternative the use of anisotropic conductive adhesives (ACAs). The approach is especially suitable for systems with high integration density and challenging circuit complexity, such as phased array antennas. Two different commercially available ACAs are considered to realize interconnects — here between two single-layer PCBs. The measurements performed up to 40GHz yield transmission coefficients exceeding -1.4 dB and reflection coefficients below -13 dB, thus confirming the validity of the approach.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
43,"The new 3D packaging technology based on 3D-redistribution layer (RDL) copper interconnect is proposed for 5G highly-integrated RF system in-package (SIP) applications. The stacked dies enabled the construction of a compact SIP in conjunction with this conformal RDL coplanar waveguide (CPW) interconnect. The S-parameter performance was investigated through simulation and measurement. The unwanted coupling between adjacent passive elements was reported to be < -25 dB for all ports in sub-6 GHz frequency bands. 3D-integrated passive device (IPD) was also designed, realized, and tested for its manufacturing accuracy. All measurements were reported taking into consideration the effect of the dense land-grid array (LGA) solder interconnect and fixture PCB transition. A good agreement between simulation and measurement of the passives was observed from 1 to 30 GHz.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
44,"This paper discusses the design details of an E-band phased array eWLB package along with the test board used to evaluate the package performance. The eWLB package includes eight phase matched controlled impedance transmission lines. The BGA transition has been optimized using FEM solver. The measured loss of the eWLB test structure is ∼-3 dB at 73GHz. This loss includes 4.5 mm eWLB trace, BGA transition and 1 mm PCB test trace.",Scientific Abstract,https://ieeexplore.ieee.org/document/9924490,HWT,0
